Gene1        Gene2        Direction    Correlation  Distant?     Distance     
SPI1         TRIM28       1            0.77463      1            -1           
SPI1         CTF1         0            0.81529      1            -1           
SPI1         GTF2I        0            0.92402      1            -1           
SPI1         NFIX         0            0.78222      1            -1           
SPI1         HIC1         1            0.77633      1            -1           
SPI1         STAT3        -1           0.83414      1            -1           
SPI1         CTCF         0            0.88314      1            -1           
SPI1         MXD3         0            0.87854      1            -1           
SPI1         ARNT         -1           0.75687      1            -1           
SPI1         NR1H3        0            0.87911      0            120660       
SPI1         CEBPB        0            0.76388      1            -1           
SPI1         RARA         0            0.78616      1            -1           
SPI1         RARG         0            0.83023      1            -1           
SPI1         THRA         0            0.89303      1            -1           
SPI1         FOSB         1            0.92031      1            -1           
SPI1         JUNB         1            0.78876      1            -1           
SPI1         ATF4         0            0.762        1            -1           
SPI1         SMAD3        0            0.77957      1            -1           
SPI1         SMAD6        1            0.84042      1            -1           
SPI1         FOXM1        0            0.76565      1            -1           
SPI1         ATF7         0            0.92367      1            -1           
SPI1         RFX1         0            0.7897       1            -1           
SPI1         ZNF143       0            0.92394      1            37917616     
SPI1         MAFF         0            0.80694      1            -1           
SPI1         NR4A1        0            0.75002      1            -1           
SPI1         STAT5A       -1           0.8819       1            -1           
SPI1         STAT5B       -1           0.7757       1            -1           
SPI1         ELK4         0            0.82945      1            -1           
SPI1         DMBX1        0            0.79506      1            -1           
SPI1         RFX5         -1           0.87392      1            -1           
SPI1         RFXANK       0            0.76479      1            -1           
SPI1         CBFB         -1           0.84304      1            -1           
SPI1         DEAF1        0            0.83707      1            46704387     
SPI1         GTF2IRD1     0            0.86901      1            -1           
SPI1         SOX10        0            0.89735      1            -1           
SPI1         SOX15        0            0.75184      1            -1           
SPI1         XBP1         0            0.80059      1            -1           
SPI1         TP53         0            0.80931      1            -1           
SPI1         ZNF589       0            0.79106      1            -1           
SPI1         STAT2        0            0.7704       1            -1           
SPI1         STAT6        0            0.83529      1            -1           
SPI1         EP300        -1           0.79735      1            -1           
SPI1         PPARD        0            0.778        1            -1           
SPI1         DDIT3        0            0.7686       1            -1           
SPI1         GLI1         0            0.80604      1            -1           
SPI1         HOMEZ        -1           0.80995      1            -1           
SPI1         ELF3         0            0.87864      1            -1           
SPI1         ETV4         -1           0.81279      1            -1           
SPI1         FOXJ1        0            0.90935      1            -1           
SPI1         MECOM        1            -0.78811     1            -1           
SPI1         MEF2D        0            0.79834      1            -1           
SPI1         ING4         0            0.80318      1            -1           
SPI1         ZNF384       0            0.78901      1            -1           
TFAP2A       TFE3         0            0.77171      1            -1           
TFAP2A       CEBPA        0            0.76306      1            -1           
TFAP2A       SMAD4        0            0.77318      1            -1           
TFAP2A       GCM2         0            0.81976      0            469491       
TFAP2A       TBX18        1            -0.88826     1            75061347     
TFAP2C       MTF1         -1           0.8162       1            -1           
TFAP2C       POU3F1       -1           0.80102      1            -1           
TRIM28       STAT3        -1           0.76294      1            -1           
TRIM28       MITF         1            -0.78187     1            -1           
TRIM28       MZF1         0            0.97913      0            29107        
TRIM28       CEBPD        1            0.76874      1            -1           
TRIM28       STAT5A       -1           0.76476      1            -1           
TRIM28       ERF          -1           0.78767      1            16296526     
TRIM28       CBFB         -1           0.78353      1            -1           
TRIM28       GTF2IRD1     -1           0.79711      1            -1           
TRIM28       SOX18        -1           0.79065      1            -1           
TRIM28       TLX2         -1           0.76259      1            -1           
TRIM28       GATA6        0            -0.8058      1            -1           
ALX3         MYOG         0            0.77435      1            92441844     
ALX3         CUX1         0            0.88024      1            -1           
ALX3         NKX2-5       1            0.81391      1            -1           
ALX3         DLX3         0            0.86118      1            -1           
ALX3         DLX4         0            0.84808      1            -1           
ALX3         LHX2         0            0.80305      1            -1           
