Gene1        Gene2        Direction    Correlation  Distant?     Distance     
KLF11        RFX3         1            -0.92665     1            -1           
KLF11        SOX8         0            0.77557      1            -1           
KLF11        TFCP2L1      1            0.77681      1            111859097    
KLF11        MAFA         1            0.93427      1            -1           
KLF11        NR2E3        1            0.76297      1            -1           
KLF11        FOXP3        1            0.75134      1            -1           
KLF11        HOXC9        1            0.83601      1            -1           
KLF11        DLX4         0            0.82412      1            -1           
KLF11        HOXC10       1            0.83857      1            -1           
KLF11        HOXC11       1            0.83952      1            -1           
KLF11        TBX18        1            -0.78998     1            -1           
KLF11        HOXC13       1            0.82173      1            -1           
KLF11        HOXC5        1            0.77504      1            -1           
KLF11        HOXC8        1            0.83641      1            -1           
KLF11        IRX3         1            -0.75364     1            -1           
KLF11        ZBTB16       1            0.8151       1            -1           
KLF11        ZNF333       1            0.8985       1            -1           
KLF4         MXD3         -1           -0.81343     1            -1           
KLF4         ZIC2         0            -0.79276     1            -1           
KLF4         CEBPD        1            -0.80507     1            -1           
KLF4         LTF          -1           -0.78636     1            -1           
KLF4         IRF9         -1           -0.79407     1            -1           
KLF4         RFX5         -1           -0.79259     1            -1           
KLF4         SRY          -1           -0.75765     1            -1           
KLF4         REL          -1           -0.83653     1            -1           
KLF4         EP300        -1           -0.76584     1            -1           
KLF4         TBX15        1            0.76934      1            -1           
KLF4         MECOM        0            0.77606      1            -1           
KLF4         MEF2C        1            -0.78108     1            -1           
KLF4         GZF1         0            0.7581       1            -1           
KLF4         NR4A2        1            -0.80015     1            -1           
PATZ1        SREBF1       -1           0.94882      1            -1           
PATZ1        ZNF219       0            0.80538      1            -1           
PATZ1        PITX1        -1           0.91261      1            -1           
PATZ1        IRF7         0            0.85743      1            -1           
PATZ1        NF1          0            0.78551      1            -1           
PATZ1        NFIX         -1           0.75681      1            -1           
PATZ1        PAX2         0            0.85195      1            -1           
PATZ1        VDR          0            0.85701      1            -1           
PATZ1        STAT3        -1           0.8019       1            -1           
PATZ1        CTCF         -1           0.8397       1            -1           
PATZ1        MXD4         -1           0.76841      1            -1           
PATZ1        MYOG         -1           0.77871      1            -1           
PATZ1        SREBF2       -1           0.82837      1            10486833     
PATZ1        TCF3         1            0.76628      1            -1           
PATZ1        TFE3         1            0.85786      1            -1           
PATZ1        HIF1A        1            0.76202      1            -1           
PATZ1        THRA         0            0.76626      1            -1           
PATZ1        NFATC3       -1           0.86925      1            -1           
PATZ1        ATF3         -1           0.83189      1            -1           
PATZ1        FOS          -1           0.93748      1            -1           
PATZ1        JUNB         1            0.77973      1            -1           
PATZ1        ATF4         -1           0.961        1            8174319      
PATZ1        E2F4         0            0.8192       1            -1           
PATZ1        SMAD9        1            0.77746      1            -1           
PATZ1        NRF1         -1           0.82862      1            -1           
PATZ1        MAFF         0            0.77902      1            6855689      
PATZ1        ZNF628       0            0.82325      1            -1           
PATZ1        NR4A1        0            0.7733       1            -1           
PATZ1        STAT5B       -1           0.78486      1            -1           
PATZ1        ELK4         -1           0.88825      1            -1           
PATZ1        ERF          1            0.84593      1            -1           
PATZ1        NR6A1        0            0.82427      1            -1           
PATZ1        RFXAP        1            0.77838      1            -1           
PATZ1        DEAF1        0            0.83742      1            -1           
PATZ1        RUNX3        -1           0.92082      1            -1           
PATZ1        CDC5L        -1           0.83969      1            -1           
PATZ1        XBP1         1            0.90497      0            2545689      
PATZ1        TP53         0            0.81364      1            -1           
PATZ1        RELA         0            0.85209      1            -1           
PATZ1        STAT2        -1           0.90864      1            -1           
PATZ1        STAT6        0            0.90775      1            -1           
